title,question,answers
Ashkenazi_Jews,Have studies on the genetics of the Ashkenazim come to similar or divergent conclusions regarding the degree and sources of their European ancestry?,they have arrived at diverging conclusions
Wood,"Other than boats, what do people often build with wood?",houses
Quran,What are the two type of ta'wil?,acceptable and unacceptable
Frédéric_Chopin,In 1835 where did Chopin and his parents visit?,Carlsbad
"Fresno,_California",What new product did Bank of America introduce in 1958?,BankAmericard
Northwestern_University,What was the official nickname of Northwestern's athletic teams prior to 1924?,The Purple
Dialect,"Aside from Italo-Dalmatian, what is another term for the group that Italian languages belong to?",Romance
Eritrea,How does the texture of Eritrean dishes compare to Ethiopian meals?,lighter
Buddhism,The absence of ignorance leads to what?,the absence of the others
"New_Haven,_Connecticut",What is the name of the highway tunnel on Route 15 in New Haven? ,Heroes Tunnel
Canadian_football,Which CFL games require tie-breaking rounds continue until a winner results?,playoff or championship
Human_Development_Index,On what date was the 2013 Human Development Report released?,"March 14, 2013"
Madonna_(entertainer),When was the The English Roses published?,September 2003
Westminster_Abbey,What was the altarpiece designed for?,high altar of the abbey
Mosaic,The majority of the mosaics in Venice were created by who?,local artists
LaserDisc,Who chose LaserFisc for their Domesday Project in the mid-1980s?,British Broadcasting Corporation (BBC)
Elizabeth_II,Who did Elizabeth surpass in longest lived British monarch?,Queen Victoria
Middle_Ages,What is a notable architectural feature of the basilica?,transept
Josip_Broz_Tito,The Cryptologic Spectrum also notes whose impressions of Tito's Russian origins?,Draža Mihailović's
Kathmandu,What sort of temperature is typical on a Kathmandu morning?,cool
Armenia,What is the Armenian term for settlment?,bnakavayr
European_Central_Bank,What former managing director od Goldman Sachs international division is president of The European Central Bank?,Mario Draghi
Ashkenazi_Jews,A 2013 study estimates that what percentage of Ashkenazi maternal ancestry comes from women of undetermined origins?,while the origin of the remainder is undetermined
Planck_constant,The value quoted here for the Planck constant is based on a measurement in what year?,2007
Warsaw,What conviction did many Poles have regarding how the Varsovians thought of themselves?,"['as better', 'better', 'thought of themselves as better']"
Huguenot,"Besides Britain and North America, where else did Huguenot refugees settle?","['Holland, Prussia, and South Africa', 'Britain as well as Holland, Prussia, and South Africa']"
Kanye_West,What was the name of Kanye's 2008 music tour?,Glow in the Dark Tour
Gene,What does the directional selection of beneficial mutations lead to?,adaptive evolution
Daylight_saving_time,In what part of the world is daytime shorter in winter and longer in summer?,North and south of the tropics
History_of_science,What was Ibn al-Haytham's nickname?,the father of optics
Annelid,How does peristalsis work?,waves of contraction and expansion that sweep along the body
Madrasa,What institutions have been considered to take some its ideas from madaris?,European university
Muslim_world,Where is one permitted to use representations of humans?,secular architecture
Black_people,How many slaves were imported by the British Caribbean?,2.76 million
Greece,"During battles of the 1600 and 1700's, the Greeks usually fought against who?",Ottoman Empire
Software_testing,Finding defects once a change in code had already happened is called?,Regression testing
Dominican_Order,Who influenced Magnus at this time?,Dionysus
Classical_music,When was the modern era?,1890–1930
Association_football,"What is the name of a similar, non-competitive game in Japan called?",kemari
Tennessee,Which side won more Civil War battles in Tennessee?,Union
Islamism,What Republic has maintained its control of Iran?,"['Islamic', 'The Islamic Republic']"
Hellenistic_period,In what region did the Romans aim to re-bolster the influence after the Second Punic war?,the Balkans
Myanmar,How did the world respond to the reported acts of military violence during the Burmese revolution of 2007?,The military crackdown against unarmed protesters was widely condemned as part of the International reactions
Nigeria,How many Nigerian Christians are Protestant?,74%
Alfred_North_Whitehead,Who co-wrote Principia Mathematica with Whitehead?,Bertrand Russell
Israel,When did the British government announce it would withdraw from Mandatory Palestine?,1947
Gamal_Abdel_Nasser,What party came in third in the 2013 election?,Sabahi
"John,_King_of_England",Until when did Henry III continue his attempts to reclaim Normandy?,1259
Tajikistan,What mountians do the Pamiri people call home?,Pamir Mountains
Genome,In what year was the word genome first created?,1920
Houston,What commodity was Houston known for in 1860? ,cotton
Qing_dynasty,What did Qi Jiguang's private army do?,repel raiding Japanese pirates
Warsaw,What kingdom annexed Warsaw in 1796?,"['Kingdom of Prussia', 'Prussia']"
Capital_punishment_in_the_United_States,What goal did the ALI's study say could not be reconciled with the goal of individualized execution decisions?,systemic fairness for minorities
Insect,What part of the insect has been up for debate?,wings
Military_history_of_the_United_States,What South Korean city did the US and ROK forces defend while building reinforcements?,Pusan
Brigham_Young_University,Which three-time Olympic medalist and Hall of Famer graduated from BYU?,Krešimir Ćosić
Westminster_Abbey,With what kind of life were the Benedictines allowed to identify?,secular
Identity_(social_science),An adolescent going through a family break up turning into an adult in a stable marriage is given as an example of change in what?,the identity variant
Queen_Victoria,Whi did Victoria have to live with because she was unmarried?,her mother
Pub,"Along with the local police, what profession is given as an example of someone who might use the snug?",the parish priest
Valencia,Who called himself the Emperor of All Spain?,Alfonso VI of León and Castile
Korean_War,"Besides the United States, what other country sent military personnel to Korea?",Japan
Financial_crisis_of_2007%E2%80%9308,Which former Fed Chair confessed in Congressional testimony to being forced to return to lax monetary supply?,Alan Greenspan
Anthropology,Psychological anthropology examines how our models of social processes are informed by what?,understanding
Chinese_characters,What is a less systematic example?,túshūguǎn
New_York_City,Research by what institution of higher learning showed that most New Yorkers support bicycle sharing?,Quinnipiac University
Red,What color is beside red in the visible spectrum of light?,orange
Crimean_War,How many troops did the Turks have when crossing the Cholok River?,20000 troops
Chicago_Cubs,Who assumed ownership of the Cubs after Hulbert died?,Spalding
"Richmond,_Virginia","Along with Philip Morris and CapitalOne, what prominent corporation is present in Richmond?",Genworth Financial
Myanmar,Who was expelled from Myanmar before the elections of 2012 and what position did they hold ?,"Somsri Hananuntasuk, executive director of the Asian Network for Free Elections (ANFREL)"
Sony_Music_Entertainment,What search engine company giant has Sony sent requests to regarding content on a website?,Google
Armenia,How much money was spent to revamp Tsaghkadzor for winter sports?,$9.3 million
Light-emitting_diode,"In pcLEDs method, a fraction of what light is used?",blue
Aspirated_consonant,"If the lenis are ⟨b d ɡ⟩, what are the fortis counterparts?",⟨p t k⟩
Digestion,When did external digestion develop?,earlier in evolutionary history
Oklahoma_City,What hospital is in the MSA region,Norman Regional Hospital
Bern,What is the name of the Bern zinc tablet?,Brenodor
Swaziland,How many years does a student spend in secondary and high school in Swaziland?,five
Intellectual_property,What does the recording industry call piracy?,copyright infringement
"Raleigh,_North_Carolina",What are some neighborhoods in South Raleigh?,"Renaissance Park, Lake Wheeler, Swift Creek"
FA_Cup,When was the first design changed? ,". The FA decided to change the design after the 1909 winners, Manchester United, made their own replica,"
"John,_King_of_England",How did he address the problems with the English currency?,carrying out a radical overhaul of the coinage
Madonna_(entertainer),What was the name of the single that was Madonna's twelfth number one hit in the UK?,Sorry
"New_Haven,_Connecticut",In what year did the U.S. Supreme Court agree to hear a lawsuit originally filed by 20 white and Hispanic firefighters seeking relief from the city of New Haven?,2009
